,0,1,2,3,4
0,Feature,Overall Accuracy,Male Accuracy,Female Accuracy,Runtime
1,A ending?,0.6524891351362485,0.973780386510881,0.46220320083956445,135.2224907875061
2,"Plosive ending? (p,b,t,d,k,g)",0.6606867005828923,0.11766985990364914,0.9822904368358913,137.95571994781494
3,"Sonorant ending? (m,n,ng,l,r)",0.7212724763650594,0.45797109474500247,0.8772136953955135,137.7225251197815
4,"Fricative ending? (f,v,th,s,z,sh,ch,dge)",0.6582665650553027,0.1224043413256548,0.9756329529056802,135.03610134124756
5,"1st letter fricative? (f,v,th,s,z,sh,ch,j)",0.6280406170830672,0.0,1.0,132.8284194469452
6,"Total # of sonorants (m,n,l,r,w,y)",0.6280406170830672,0.0,1.0,135.0191788673401
7,"Total # of vowels (a, e, i, o, u)",0.6498733290766411,0.5348025915056205,0.7180243998425817,130.76261830329895
8,"1st letter plosive? (p,b,t,d,k,g)",0.6280406170830672,0.0,1.0,128.96843671798706
9,"Total # of plosives  (p,b,t,d,k,g)",0.627927334143478,0.0008859848275098289,0.9992948970221698,133.4306149482727
10,"VowelEnding? (a, e, i, o, u,y)",0.7509423080884019,0.7286948336009745,0.7641184573002755,133.26122093200684
11,# of letters,0.63390043459455,0.10479539287889694,0.9472648563557654,132.1974573135376
12,"# of fricatives (f,v,th,s,z,sh,ch,j)",0.6284422565961566,0.0014120383188437897,0.9998032270759544,134.45706009864807
13,"1st letter vowel? (a, e, i, o, u)",0.6280406170830672,0.0,1.0,133.5621325969696
14,"1st letter sonorant? (m,n,l,r,w,y)",0.6280406170830672,0.0,1.0,132.8152093887329
15,Front Vowels,0.6280406170830672,0.0,1.0,131.82913827896118
16,Back Vowels,0.649996910465284,0.4841353341824021,0.7482290436835891,133.30338525772095
