,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
0,advil,138584384.0,ANALGESICS,0,0,1,0,0,1,2,0,1,0,5,1,1,0,1,0
1,aleve,107795707.0,ANALGESICS,0,0,0,0,0,1,3,0,0,1,5,1,1,0,2,0
2,alliviax,9327.0,ANALGESICS,0,0,0,0,0,2,4,0,0,0,8,1,1,0,2,0
3,analgen,256.0,ANALGESICS,0,0,1,0,0,3,3,0,1,0,7,0,1,0,1,0
4,arnicare,327389.0,ANALGESICS,0,0,0,0,0,3,4,0,0,1,8,0,1,0,2,0
5,asteeza,28418.0,ANALGESICS,1,0,0,0,0,0,4,0,1,1,7,2,1,0,1,0
6,ausanil,4035.0,ANALGESICS,0,0,1,0,0,2,4,0,0,0,7,1,1,0,1,1
7,azo,552227.0,ANALGESICS,0,0,0,0,0,0,2,0,0,1,3,1,1,0,0,1
8,bc,2525607.0,ANALGESICS,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
9,biofreeze,44695.0,ANALGESICS,0,0,0,0,0,1,5,1,1,1,9,2,0,0,3,1
10,bufferin,,ANALGESICS,0,0,1,0,0,2,3,1,1,0,8,2,0,0,2,1
11,buscapina,5635.0,ANALGESICS,1,0,0,0,0,1,4,1,2,1,9,1,0,0,1,1
12,calmadol,16906.0,ANALGESICS,0,0,1,0,0,3,3,0,1,0,8,0,0,0,0,1
13,diurex,,ANALGESICS,0,0,0,0,0,1,3,1,1,0,6,0,0,0,2,1
14,equate,99585.0,ANALGESICS,0,0,0,0,0,0,4,0,1,1,6,0,1,0,2,1
15,excedrin,96006.0,ANALGESICS,0,0,1,0,0,2,3,0,1,0,8,0,1,0,3,0
16,fibromyalgia,4386.0,ANALGESICS,1,0,0,0,1,4,5,0,2,1,12,1,0,0,2,1
17,flanax,274271.0,ANALGESICS,0,0,0,0,1,2,2,0,0,0,6,1,0,0,0,0
18,glycomarine,1168.0,ANALGESICS,0,0,0,0,0,5,4,1,1,1,11,0,0,0,2,1
19,goodys,752741.0,ANALGESICS,0,0,0,1,0,1,2,1,2,0,6,1,0,0,0,1
20,hangover,368439.0,ANALGESICS,0,0,1,0,0,2,3,0,1,0,8,1,0,0,1,1
21,kyutec,124.0,ANALGESICS,0,0,0,0,0,1,2,1,2,0,6,0,0,0,1,1
22,livia,,ANALGESICS,1,0,0,0,0,1,3,0,0,1,5,1,0,1,2,0
