,BRAND,CATEGORY,DOLS
0,advil,ANALGESICS,138584384.0
1,aleve,ANALGESICS,107795707.0
2,alliviax,ANALGESICS,9327.0
3,analgen,ANALGESICS,256.0
4,arnicare,ANALGESICS,327389.0
5,asteeza,ANALGESICS,28418.0
6,ausanil,ANALGESICS,4035.0
7,azo,ANALGESICS,552227.0
8,bc,ANALGESICS,2525607.0
9,biofreeze,ANALGESICS,44695.0
10,bufferin,ANALGESICS,
11,buscapina,ANALGESICS,5635.0
12,calmadol,ANALGESICS,16906.0
13,diurex,ANALGESICS,
14,equate,ANALGESICS,99585.0
15,excedrin,ANALGESICS,96006.0
16,fibromyalgia,ANALGESICS,4386.0
17,flanax,ANALGESICS,274271.0
18,glycomarine,ANALGESICS,1168.0
19,goodys,ANALGESICS,752741.0
20,hangover,ANALGESICS,368439.0
21,kyutec,ANALGESICS,124.0
22,livia,ANALGESICS,
23,migrastil,ANALGESICS,
24,migrelief,ANALGESICS,
25,motrin,ANALGESICS,1464269.0
26,naproxen,ANALGESICS,13251.0
27,noxicare,ANALGESICS,11119.0
28,pamprin,ANALGESICS,269493.0
29,pediacare,ANALGESICS,27586.0
30,persen,ANALGESICS,
31,salonpas,ANALGESICS,14420.0
32,stopain,ANALGESICS,44005.0
33,synodrin,ANALGESICS,110665.0
34,tylenol,ANALGESICS,108497.0
35,vanquish,ANALGESICS,537896.0
36,venaton,ANALGESICS,18261.0
37,alfamino,BABY_FOODS,18682.0
38,enfagrow,BABY_FOODS,1385389.0
39,enfamil,BABY_FOODS,153870.0
40,gerber,BABY_FOODS,22499944.0
41,kabrita,BABY_FOODS,7301.0
42,neocate,BABY_FOODS,70395.0
43,nurturme,BABY_FOODS,4933.0
44,similac,BABY_FOODS,203115.0
45,sprout,BABY_FOODS,116645.0
46,adidas,BASEBALL_EQUIPMENT,891.0
47,axe,BASEBALL_EQUIPMENT,98289.0
48,blast,BASEBALL_EQUIPMENT,104743.0
49,demarini,BASEBALL_EQUIPMENT,2056.0
50,diamond,BASEBALL_EQUIPMENT,0.0
51,easton,BASEBALL_EQUIPMENT,218.0
52,franklin,BASEBALL_EQUIPMENT,187861.0
53,gloveworks,BASEBALL_EQUIPMENT,0.0
54,maxbp,BASEBALL_EQUIPMENT,54.0
55,miken,BASEBALL_EQUIPMENT,0.0
56,prorollers,BASEBALL_EQUIPMENT,
57,rawlings,BASEBALL_EQUIPMENT,
58,ssk,BASEBALL_EQUIPMENT,303.0
59,wilson,BASEBALL_EQUIPMENT,2971.0
60,worth,BASEBALL_EQUIPMENT,0.0
61,acura,CARS_TRUCKS,45438413.0
62,audi,CARS_TRUCKS,43254206.0
63,bentley,CARS_TRUCKS,1545639.0
64,bmw,CARS_TRUCKS,39981525.0
65,buick,CARS_TRUCKS,23155217.0
66,cadillac,CARS_TRUCKS,65802440.0
67,chevrolet,CARS_TRUCKS,231297562.0
68,chrysler,CARS_TRUCKS,6004111.0
69,citroen,CARS_TRUCKS,
70,dacia,CARS_TRUCKS,
71,datsun,CARS_TRUCKS,
72,dodge,CARS_TRUCKS,33424518.0
73,ferrari,CARS_TRUCKS,30587.0
74,fiat,CARS_TRUCKS,3234145.0
75,ford,CARS_TRUCKS,348912563.0
76,genesis,CARS_TRUCKS,38949978.0
77,holden,CARS_TRUCKS,
78,honda,CARS_TRUCKS,29440056.0
79,hyundai,CARS_TRUCKS,45727948.0
80,infiniti,CARS_TRUCKS,17205116.0
81,jaguar,CARS_TRUCKS,7360651.0
82,kia,CARS_TRUCKS,10687965.0
83,lexus,CARS_TRUCKS,70757450.0
84,lincoln,CARS_TRUCKS,10263062.0
85,maserati,CARS_TRUCKS,2345118.0
86,mazda,CARS_TRUCKS,71255598.0
87,mini,CARS_TRUCKS,7848011.0
88,mitsubishi,CARS_TRUCKS,441877.0
89,nissan,CARS_TRUCKS,207086084.0
90,pagani,CARS_TRUCKS,157880.0
91,peugeot,CARS_TRUCKS,8404.0
92,porsche,CARS_TRUCKS,2188360.0
93,renault,CARS_TRUCKS,4426.0
94,scion,CARS_TRUCKS,60235.0
95,smart,CARS_TRUCKS,2208807.0
