,BRAND,DOLS,CATEGORY
48,blast,104743.0,BASEBALL_EQUIPMENT
50,diamond,0.0,BASEBALL_EQUIPMENT
60,worth,0.0,BASEBALL_EQUIPMENT
95,smart,2208807.0,CARS_TRUCKS
111,arrow,,COSMETICS
119,benefit,40578.0,COSMETICS
128,cargo,40912.0,COSMETICS
150,essence,6363.0,COSMETICS
166,kiss,14766.0,COSMETICS
176,mark,352.0,COSMETICS
185,note,216.0,COSMETICS
198,renaissance,5534.0,COSMETICS
260,proof,588.0,FINANCIAL_SERVICES
299,matrix,35004.0,HAIR_PRODUCTS
320,always,73495.0,JEWELRY
374,coach,,JEWELRY
376,continental,17863.0,JEWELRY
390,diamond,14861.0,JEWELRY
403,endless,408323.0,JEWELRY
413,fossil,238289.0,JEWELRY
423,global,22511.0,JEWELRY
440,imperial,21341.0,JEWELRY
458,knot,37604.0,JEWELRY
470,liberty,2539.0,JEWELRY
471,lift,,JEWELRY
497,motif,28001.0,JEWELRY
504,nest,471465.0,JEWELRY
507,nomination,130.0,JEWELRY
525,quid,,JEWELRY
534,romance,809.0,JEWELRY
551,solo,13356.0,JEWELRY
559,storm,,JEWELRY
599,wolf,4608.0,JEWELRY
612,clash,9001.0,MEN_HAIRCARE
614,fish,11767.0,MEN_HAIRCARE
626,guess,475640.0,MEN_UNDERWEAR
628,jockey,5925223.0,MEN_UNDERWEAR
630,pump,73.0,MEN_UNDERWEAR
634,stance,4614.0,MEN_UNDERWEAR
657,revision,,MILITARY
671,arrow,387.0,POWER_TOOLS
683,central,22265.0,POWER_TOOLS
687,craftsman,2650625.0,POWER_TOOLS
703,echo,11760.0,POWER_TOOLS
720,general,75531.0,POWER_TOOLS
747,jet,8938.0,POWER_TOOLS
777,monster,21203.0,POWER_TOOLS
780,mountain,12722.0,POWER_TOOLS
791,pace,1988.0,POWER_TOOLS
809,rigid,12990.0,POWER_TOOLS
857,element,4531691.0,TELEVISIONS
863,pioneer,6528.0,TELEVISIONS
868,sharp,96645.0,TELEVISIONS
887,ball,43850.0,WATCHES
916,citizen,1690662.0,WATCHES
917,coach,6670.0,WATCHES
933,fossil,5578334.0,WATCHES
942,guess,222094.0,WATCHES
997,reactor,921.0,WATCHES
998,revival,95.0,WATCHES
1011,slow,48605.0,WATCHES
1023,tense,200.0,WATCHES
1038,wolf,456.0,WATCHES
1041,yes,8165.0,WATCHES
1047,guess,325652.0,WOMENS_UNDERWEAR
1081,silk,10320.0,YOGURT
