,BRAND,DOLS,CATEGORY
0,advil,138584384.0,ANALGESICS
1,aleve,107795707.0,ANALGESICS
2,alliviax,9327.0,ANALGESICS
3,analgen,256.0,ANALGESICS
4,arnicare,327389.0,ANALGESICS
5,asteeza,28418.0,ANALGESICS
6,ausanil,4035.0,ANALGESICS
7,azo,552227.0,ANALGESICS
8,bc,2525607.0,ANALGESICS
9,biofreeze,44695.0,ANALGESICS
10,bufferin,,ANALGESICS
11,buscapina,5635.0,ANALGESICS
12,calmadol,16906.0,ANALGESICS
13,diurex,,ANALGESICS
14,equate,99585.0,ANALGESICS
15,excedrin,96006.0,ANALGESICS
16,fibromyalgia,4386.0,ANALGESICS
17,flanax,274271.0,ANALGESICS
18,glycomarine,1168.0,ANALGESICS
19,goodys,752741.0,ANALGESICS
20,hangover,368439.0,ANALGESICS
21,kyutec,124.0,ANALGESICS
22,livia,,ANALGESICS
23,migrastil,,ANALGESICS
24,migrelief,,ANALGESICS
25,motrin,1464269.0,ANALGESICS
26,naproxen,13251.0,ANALGESICS
27,noxicare,11119.0,ANALGESICS
28,pamprin,269493.0,ANALGESICS
29,pediacare,27586.0,ANALGESICS
30,persen,,ANALGESICS
31,salonpas,14420.0,ANALGESICS
32,stopain,44005.0,ANALGESICS
33,synodrin,110665.0,ANALGESICS
34,tylenol,108497.0,ANALGESICS
35,vanquish,537896.0,ANALGESICS
36,venaton,18261.0,ANALGESICS
37,alfamino,18682.0,BABY_FOODS
38,enfagrow,1385389.0,BABY_FOODS
39,enfamil,153870.0,BABY_FOODS
40,gerber,22499944.0,BABY_FOODS
41,kabrita,7301.0,BABY_FOODS
42,neocate,70395.0,BABY_FOODS
43,nurturme,4933.0,BABY_FOODS
44,similac,203115.0,BABY_FOODS
45,sprout,116645.0,BABY_FOODS
46,adidas,891.0,BASEBALL_EQUIPMENT
47,axe,98289.0,BASEBALL_EQUIPMENT
48,blast,104743.0,BASEBALL_EQUIPMENT
49,demarini,2056.0,BASEBALL_EQUIPMENT
50,diamond,0.0,BASEBALL_EQUIPMENT
51,easton,218.0,BASEBALL_EQUIPMENT
52,franklin,187861.0,BASEBALL_EQUIPMENT
53,gloveworks,0.0,BASEBALL_EQUIPMENT
54,maxbp,54.0,BASEBALL_EQUIPMENT
55,miken,0.0,BASEBALL_EQUIPMENT
56,prorollers,,BASEBALL_EQUIPMENT
57,rawlings,,BASEBALL_EQUIPMENT
58,ssk,303.0,BASEBALL_EQUIPMENT
59,wilson,2971.0,BASEBALL_EQUIPMENT
60,worth,0.0,BASEBALL_EQUIPMENT
61,acura,45438413.0,CARS_TRUCKS
62,audi,43254206.0,CARS_TRUCKS
63,bentley,1545639.0,CARS_TRUCKS
64,bmw,39981525.0,CARS_TRUCKS
65,buick,23155217.0,CARS_TRUCKS
66,cadillac,65802440.0,CARS_TRUCKS
67,chevrolet,231297562.0,CARS_TRUCKS
68,chrysler,6004111.0,CARS_TRUCKS
69,citroen,,CARS_TRUCKS
70,dacia,,CARS_TRUCKS
71,datsun,,CARS_TRUCKS
72,dodge,33424518.0,CARS_TRUCKS
73,ferrari,30587.0,CARS_TRUCKS
74,fiat,3234145.0,CARS_TRUCKS
75,ford,348912563.0,CARS_TRUCKS
76,genesis,38949978.0,CARS_TRUCKS
77,holden,,CARS_TRUCKS
78,honda,29440056.0,CARS_TRUCKS
79,hyundai,45727948.0,CARS_TRUCKS
80,infiniti,17205116.0,CARS_TRUCKS
81,jaguar,7360651.0,CARS_TRUCKS
82,kia,10687965.0,CARS_TRUCKS
83,lexus,70757450.0,CARS_TRUCKS
84,lincoln,10263062.0,CARS_TRUCKS
85,maserati,2345118.0,CARS_TRUCKS
86,mazda,71255598.0,CARS_TRUCKS
87,mini,7848011.0,CARS_TRUCKS
88,mitsubishi,441877.0,CARS_TRUCKS
89,nissan,207086084.0,CARS_TRUCKS
90,pagani,157880.0,CARS_TRUCKS
91,peugeot,8404.0,CARS_TRUCKS
92,porsche,2188360.0,CARS_TRUCKS
93,renault,4426.0,CARS_TRUCKS
94,scion,60235.0,CARS_TRUCKS
95,smart,2208807.0,CARS_TRUCKS
96,subaru,209532341.0,CARS_TRUCKS
97,suzuki,422.0,CARS_TRUCKS
98,tesla,889.0,CARS_TRUCKS
99,toyota,93958963.0,CARS_TRUCKS
100,vauxhall,,CARS_TRUCKS
101,volkswagen,13523420.0,CARS_TRUCKS
102,volvo,2159686.0,CARS_TRUCKS
103,aerin,108.0,COSMETICS
104,allure,4235.0,COSMETICS
105,almay,97461.0,COSMETICS
106,alzeyna,508.0,COSMETICS
107,ambi,2001.0,COSMETICS
108,anytime,3857.0,COSMETICS
109,arbonne,2030.0,COSMETICS
110,aritaum,546.0,COSMETICS
111,arrow,,COSMETICS
112,artistry,456.0,COSMETICS
113,aveda,62301.0,COSMETICS
114,aveeno,21993.0,COSMETICS
115,avon,4659620.0,COSMETICS
116,bareminerals,762758.0,COSMETICS
117,beaucream,832.0,COSMETICS
118,beautyducts,2.0,COSMETICS
119,benefit,40578.0,COSMETICS
120,bezmyne,3954.0,COSMETICS
121,biancey,3157.0,COSMETICS
122,biotherm,,COSMETICS
123,bodyography,124601.0,COSMETICS
124,botanics,20363.0,COSMETICS
125,brivmay,141.0,COSMETICS
126,burberry,59000.0,COSMETICS
127,buxom,687.0,COSMETICS
128,cargo,40912.0,COSMETICS
129,caroia,16138.0,COSMETICS
130,catrice,,COSMETICS
131,chanel,161219.0,COSMETICS
132,cilsfrance,6752.0,COSMETICS
133,clarins,1114205.0,COSMETICS
134,clinique,1357352.0,COSMETICS
135,clio,,COSMETICS
136,colorescience,1216.0,COSMETICS
137,colourpop,107.0,COSMETICS
138,coty,47350.0,COSMETICS
139,darieu,28145.0,COSMETICS
140,dax,319.0,COSMETICS
141,dekliderm,11717.0,COSMETICS
142,dermablend,9510.0,COSMETICS
143,dermalox,90.0,COSMETICS
144,dinair,705.0,COSMETICS
145,dior,816381.0,COSMETICS
146,dove,108946.0,COSMETICS
147,ecotools,26509.0,COSMETICS
148,elf,123698.0,COSMETICS
149,espa,810.0,COSMETICS
150,essence,6363.0,COSMETICS
151,essie,1654.0,COSMETICS
152,flirt,,COSMETICS
153,foreo,10841.0,COSMETICS
154,fortunaye,885.0,COSMETICS
155,fullips,29698.0,COSMETICS
156,glamalor,,COSMETICS
157,glamglow,,COSMETICS
158,gucci,1022.0,COSMETICS
159,guerlain,275980.0,COSMETICS
160,healthbeauto,616.0,COSMETICS
161,ifirmation,9087.0,COSMETICS
162,jafra,4824.0,COSMETICS
163,jane,170.0,COSMETICS
164,jergens,65701.0,COSMETICS
165,julep,1758.0,COSMETICS
166,kiss,14766.0,COSMETICS
167,korres,197.0,COSMETICS
168,lancome,660261.0,COSMETICS
169,lorac,1648192.0,COSMETICS
170,lotus,,COSMETICS
171,lubriderm,36738.0,COSMETICS
172,lush,106.0,COSMETICS
173,lyrei,1972.0,COSMETICS
174,mac,15041.0,COSMETICS
175,manhattan,,COSMETICS
176,mark,352.0,COSMETICS
177,milani,34729.0,COSMETICS
178,monteil,4191.0,COSMETICS
179,mychelle,,COSMETICS
180,nars,1597.0,COSMETICS
181,natura,2488.0,COSMETICS
182,neova,65.0,COSMETICS
183,neutrogena,633859.0,COSMETICS
184,nexacell,48.0,COSMETICS
185,note,216.0,COSMETICS
186,novalash,184360.0,COSMETICS
187,nyx,24149.0,COSMETICS
188,ofra,1253.0,COSMETICS
189,olay,2304438.0,COSMETICS
190,omorovicza,106.0,COSMETICS
191,oribe,9001.0,COSMETICS
192,origins,6824.0,COSMETICS
193,orlane,1884.0,COSMETICS
194,physicians,23534.0,COSMETICS
195,plumderma,18467.0,COSMETICS
196,prescriptives,575.0,COSMETICS
197,proskin,8346.0,COSMETICS
198,renaissance,5534.0,COSMETICS
199,repechage,7501.0,COSMETICS
200,revlon,7005277.0,COSMETICS
201,rimmel,29041.0,COSMETICS
202,sarantis,11767.0,COSMETICS
203,shiseido,687890.0,COSMETICS
204,sidasta,3633.0,COSMETICS
205,skinnight,2295.0,COSMETICS
206,smashbox,278689.0,COSMETICS
207,stila,,COSMETICS
208,stowaway,16768.0,COSMETICS
209,taras,88339.0,COSMETICS
210,tarte,4632.0,COSMETICS
211,trestique,,COSMETICS
212,tribetats,107.0,COSMETICS
213,tritats,1123.0,COSMETICS
214,trydermavie,310095.0,COSMETICS
215,tweezerman,67830.0,COSMETICS
216,tyra,354313.0,COSMETICS
217,ulta,1971054.0,COSMETICS
218,unilever,17558.0,COSMETICS
219,vichy,,COSMETICS
220,xxv,3343.0,COSMETICS
221,yourbeautyderm,15138.0,COSMETICS
222,yuni,812.0,COSMETICS
223,zenjenskin,1775.0,COSMETICS
224,aarp,28462.0,FINANCIAL_SERVICES
225,amazon,15650.0,FINANCIAL_SERVICES
226,artoken,876.0,FINANCIAL_SERVICES
227,bankrate,9988.0,FINANCIAL_SERVICES
228,bitconcept,3639.0,FINANCIAL_SERVICES
229,bitcosmos,987.0,FINANCIAL_SERVICES
230,bitquick,,FINANCIAL_SERVICES
231,bitstrades,3248.0,FINANCIAL_SERVICES
232,bittank,576.0,FINANCIAL_SERVICES
233,boscoin,,FINANCIAL_SERVICES
234,brickblock,4104.0,FINANCIAL_SERVICES
235,coinmama,,FINANCIAL_SERVICES
236,compcoin,6858.0,FINANCIAL_SERVICES
237,crypterium,,FINANCIAL_SERVICES
238,currencyliquidator,,FINANCIAL_SERVICES
239,ecocoins,,FINANCIAL_SERVICES
240,eroscoin,,FINANCIAL_SERVICES
241,evr,,FINANCIAL_SERVICES
242,finney,9172.0,FINANCIAL_SERVICES
243,fortrade,32391.0,FINANCIAL_SERVICES
244,goldmint,128.0,FINANCIAL_SERVICES
245,herocoin,932.0,FINANCIAL_SERVICES
246,kencoin,2659.0,FINANCIAL_SERVICES
247,kexcoin,264.0,FINANCIAL_SERVICES
248,kin,531.0,FINANCIAL_SERVICES
249,kitcoin,366600.0,FINANCIAL_SERVICES
250,maincoin,,FINANCIAL_SERVICES
251,megamine,837.0,FINANCIAL_SERVICES
252,meridian,,FINANCIAL_SERVICES
253,mtfx,1356.0,FINANCIAL_SERVICES
254,nametoken,31923.0,FINANCIAL_SERVICES
255,ofx,702135.0,FINANCIAL_SERVICES
256,paycent,923.0,FINANCIAL_SERVICES
257,paysafe,11139.0,FINANCIAL_SERVICES
258,pendo,22489.0,FINANCIAL_SERVICES
259,proequities,15038.0,FINANCIAL_SERVICES
260,proof,588.0,FINANCIAL_SERVICES
261,qvolta,,FINANCIAL_SERVICES
262,recoin,,FINANCIAL_SERVICES
263,rollmycoin,,FINANCIAL_SERVICES
264,skincoin,,FINANCIAL_SERVICES
265,smartmoney,,FINANCIAL_SERVICES
266,sprig,10238.0,FINANCIAL_SERVICES
267,tokendesk,348.0,FINANCIAL_SERVICES
268,tokenstars,198.0,FINANCIAL_SERVICES
269,usforex,9531.0,FINANCIAL_SERVICES
270,adrenaline,15409.0,BBQ
271,denmark,9995.0,BBQ
272,kalamazoo,3545.0,BBQ
273,kingsford,1292764.0,BBQ
274,texas,,BBQ
275,weber,25831.0,BBQ
276,agebeautiful,2747039.0,HAIR_PRODUCTS
277,alfaparf,74509.0,HAIR_PRODUCTS
278,aveda,18002.0,HAIR_PRODUCTS
279,avena,7501.0,HAIR_PRODUCTS
280,bigen,2242163.0,HAIR_PRODUCTS
281,chromasilk,74478.0,HAIR_PRODUCTS
282,clairol,63125.0,HAIR_PRODUCTS
283,colordesign,48006.0,HAIR_PRODUCTS
284,colorphlex,93689.0,HAIR_PRODUCTS
285,colorproof,132694.0,HAIR_PRODUCTS
286,colorsmash,17681.0,HAIR_PRODUCTS
287,colortrak,61603.0,HAIR_PRODUCTS
288,deciem,193.0,HAIR_PRODUCTS
289,dphue,45966.0,HAIR_PRODUCTS
290,esalon,274116.0,HAIR_PRODUCTS
291,hoyu,18002.0,HAIR_PRODUCTS
292,inoa,,HAIR_PRODUCTS
293,jonathan,2958.0,HAIR_PRODUCTS
294,keune,68747.0,HAIR_PRODUCTS
295,koleston,5123.0,HAIR_PRODUCTS
296,lakme,36004.0,HAIR_PRODUCTS
297,lanza,27003.0,HAIR_PRODUCTS
298,leland,10236.0,HAIR_PRODUCTS
299,matrix,35004.0,HAIR_PRODUCTS
300,naturtint,10941315.0,HAIR_PRODUCTS
301,oway,123580.0,HAIR_PRODUCTS
302,paintglow,,HAIR_PRODUCTS
303,pureology,184829.0,HAIR_PRODUCTS
304,redken,73732.0,HAIR_PRODUCTS
305,reparex,,HAIR_PRODUCTS
306,satin,5085392.0,HAIR_PRODUCTS
307,schwarzkopf,21115.0,HAIR_PRODUCTS
308,scruples,59186.0,HAIR_PRODUCTS
309,splat,2336995.0,HAIR_PRODUCTS
310,tca,29469.0,HAIR_PRODUCTS
311,tigi,28077.0,HAIR_PRODUCTS
312,tressa,56578.0,HAIR_PRODUCTS
313,wella,70082.0,HAIR_PRODUCTS
314,abellan,176715.0,JEWELRY
315,adora,,JEWELRY
316,alamea,14479.0,JEWELRY
317,albertos,628620.0,JEWELRY
318,alishan,8545.0,JEWELRY
319,alor,59644.0,JEWELRY
320,always,73495.0,JEWELRY
321,amden,30742.0,JEWELRY
322,amgad,322650.0,JEWELRY
323,angelica,32623.0,JEWELRY
324,anjolee,743.0,JEWELRY
325,annoushka,283.0,JEWELRY
326,antonini,40980.0,JEWELRY
